Entity,InteractionMode,FieldName,FieldType,Description,Required,InResp
Ad Account,Creating,funding_id,numeric string or integer,ID of the payment method. If the account does not have a payment method it will still be possible to create ads but these ads will get no delivery.,,
Ad Account,Reading,min_daily_budget,unsigned int32,The minimum daily budget for this ad account,,
Ad Account,Creating,media_agency,string,"The agency, this could be your own business. Must be a Facebook Page Alias, Facebook Page ID or an Facebook App ID. In absence of one, you can use NONE or UNFOUNDRequired",Y,
Ad Account,Reading,last_used_time,datetime,last used time of this object by the current viewer,,
Ad Account,Reading,account_id,numeric string,The ID of the ad accountDefault,Y,
Ad Account,Creating,end_advertiser,"The type of this param is undocumented. If you are the owner of this param, please specify a developer-friendly type for it","The entity the ads will target. Must be a Facebook Page Alias, Facebook Page ID or an Facebook App ID. In absence of one, you can use NONE or UNFOUNDRequired",Y,
Ad Account,Reading,funding_source_details,FundingSourceDetails,ID = ID of the payment methodCOUPON = Details of the Facebook Ads Coupon from the payment methodAMOUNT = Amount of Facebook Ads CouponCURRENCY = Currency of the Facebook Ads CouponDISPLAY_AMOUNT = How the amount of Facebook Ads Coupon is displayedEXPIRATION = When the coupon will expireDISPLAY_STRING = How the payment method is shownTYPE = Type of the funding source,,
Ad Account,Reading,partner,numeric string,The ID of a Facebook Page or Facebook App,,
Ad Account,Reading,owner_business,Business,owner business of this object,,
Ad Account,Creating,currency,ISO 4217 Currency Code,The currency used for the accountRequired,Y,
Ad Account,Reading,business_zip,string,Zip code for business address,,
Ad Account,Reading,is_tax_id_required,bool,If tax id for this ad account is required or not,,
Ad Account,Reading,amount_spent,numeric string,Current total amount spent by the account. This can be reset.,,
Ad Account,Reading,business,Business,"The Business Manager, if this ad account is owned by one.",,
Ad Account,Reading,business_country_code,string,Country code for the business address,,
Ad Account,Reading,has_migrated_permissions,bool,Whether this account has migrated permissions,,
Ad Account,Reading,capabilities,list<string>,string&gt,,
Ad Account,Reading,id,string,The string act_{ad_account_id}Default,Y,
Ad Account,Reading,account_groups,list&lt,AdAccountGroupResult&gt,,
Ad Account,Reading,funding_source,numeric string,ID of the payment method. If the account does not have a payment method it will still be possible to create ads but these ads will get no delivery.,,
Ad Account,Reading,failed_delivery_checks,list&lt,DeliveryCheck&gt,,
Ad Account,Reading,business_city,string,City for business address,,
